LocationType,Location,TimeFrame,DataFormat,Data
County,Ashe,2019,Number,204
County,Avery,1995,Number,175
County,Avery,1996,Number,155
County,Avery,1997,Number,174
County,Avery,1998,Number,172
County,Avery,1999,Number,162
County,Avery,2000,Number,184
County,Avery,2001,Number,180
County,Avery,2002,Number,161
County,Avery,2003,Number,186
County,Avery,2004,Number,143
County,Avery,2005,Number,165
County,Avery,2006,Number,187
County,Avery,2007,Number,198
County,Avery,2008,Number,159
County,Avery,2013,Number,152
County,Avery,2018,Number,163
County,Avery,2009,Number,159
County,Avery,2010,Number,173
County,Avery,2015,Number,147
County,Avery,2011,Number,142
County,Avery,2012,Number,143
County,Avery,2016,Number,149
County,Avery,2014,Number,114
County,Avery,2017,Number,109
County,Avery,2020,Number,233
County,Avery,2021,Number,138
County,Avery,2022,Number,139
County,Avery,2023,Number,143
County,Avery,2024,Number,106
County,Avery,2019,Number,135
County,Beaufort,2017,Number,470
County,Beaufort,2014,Number,447
County,Beaufort,2016,Number,431
County,Beaufort,2012,Number,508
County,Beaufort,2011,Number,491
County,Beaufort,2015,Number,486
County,Beaufort,2010,Number,549
County,Beaufort,2009,Number,586
County,Beaufort,2018,Number,416
County,Beaufort,2013,Number,488
County,Beaufort,2008,Number,560
County,Beaufort,2007,Number,604
County,Beaufort,2006,Number,594
County,Beaufort,2005,Number,567
County,Beaufort,2004,Number,594
County,Beaufort,2003,Number,561
County,Beaufort,2002,Number,631
County,Beaufort,2001,Number,649
County,Beaufort,2000,Number,641
County,Beaufort,1999,Number,639
County,Beaufort,1998,Number,587
County,Beaufort,1997,Number,553
County,Beaufort,1996,Number,539
County,Beaufort,1995,Number,592
County,Beaufort,2020,Number,428
County,Beaufort,2021,Number,456
County,Beaufort,2022,Number,428
County,Beaufort,2023,Number,433
County,Beaufort,2024,Number,442
County,Beaufort,2019,Number,433
County,Bertie,1995,Number,276
County,Bertie,1996,Number,293
County,Bertie,1997,Number,269
County,Bertie,1998,Number,240
County,Bertie,1999,Number,252
County,Bertie,2000,Number,249
County,Bertie,2001,Number,281
County,Bertie,2002,Number,255
County,Bertie,2003,Number,238
County,Bertie,2004,Number,231
County,Bertie,2005,Number,230
County,Bertie,2006,Number,249
County,Bertie,2007,Number,233
County,Bertie,2008,Number,258
County,Bertie,2013,Number,186
County,Bertie,2018,Number,179
County,Bertie,2009,Number,228
County,Bertie,2010,Number,199
County,Bertie,2015,Number,169
County,Bertie,2011,Number,202
County,Bertie,2012,Number,179
County,Bertie,2016,Number,190
County,Bertie,2014,Number,164
County,Bertie,2017,Number,171
County,Bertie,2020,Number,178
County,Bertie,2021,Number,158
County,Bertie,2022,Number,149
County,Bertie,2023,Number,161
County,Bertie,2024,Number,157
County,Bertie,2019,Number,161
County,Bladen,2017,Number,325
County,Bladen,2014,Number,363
County,Bladen,2016,Number,333
County,Bladen,2012,Number,370
County,Bladen,2011,Number,342
County,Bladen,2015,Number,351
County,Bladen,2010,Number,370
County,Bladen,2009,Number,378
County,Bladen,2018,Number,371
County,Bladen,2013,Number,363
County,Bladen,2008,Number,412
County,Bladen,2007,Number,425
County,Bladen,2006,Number,478
County,Bladen,2005,Number,439
County,Bladen,2004,Number,467
County,Bladen,2003,Number,443
County,Bladen,2002,Number,434
County,Bladen,2001,Number,486
County,Bladen,2000,Number,482
County,Bladen,1999,Number,460
County,Bladen,1998,Number,468
County,Bladen,1997,Number,461
County,Bladen,1996,Number,420
County,Bladen,1995,Number,364
County,Bladen,2020,Number,344
County,Bladen,2021,Number,352
County,Bladen,2022,Number,353
County,Bladen,2023,Number,378
County,Bladen,2024,Number,310
County,Bladen,2019,Number,344
County,Brunswick,1995,Number,693
County,Brunswick,1996,Number,729
County,Brunswick,1997,Number,748
County,Brunswick,1998,Number,764
County,Brunswick,1999,Number,814
County,Brunswick,2000,Number,854
County,Brunswick,2001,Number,905
County,Brunswick,2002,Number,813
County,Brunswick,2003,Number,877
County,Brunswick,2004,Number,895
County,Brunswick,2005,Number,967
County,Brunswick,2006,Number,1077
County,Brunswick,2007,Number,1159
County,Brunswick,2008,Number,1170
County,Brunswick,2013,Number,1005
County,Brunswick,2018,Number,987
County,Brunswick,2009,Number,1112
County,Brunswick,2010,Number,1046
County,Brunswick,2015,Number,1044
County,Brunswick,2011,Number,1047
County,Brunswick,2012,Number,1033
County,Brunswick,2016,Number,978
County,Brunswick,2014,Number,1102
County,Brunswick,2017,Number,1007
County,Brunswick,2020,Number,1000
County,Brunswick,2021,Number,1114
County,Brunswick,2022,Number,1149
County,Brunswick,2023,Number,1176
County,Brunswick,2024,Number,1298
County,Brunswick,2019,Number,1026
County,Buncombe,2017,Number,2392
County,Buncombe,2014,Number,2576
County,Buncombe,2016,Number,2595
County,Buncombe,2012,Number,2607
County,Buncombe,2011,Number,2545
County,Buncombe,2015,Number,2625
County,Buncombe,2010,Number,2568
County,Buncombe,2009,Number,2675
County,Buncombe,2018,Number,2482
County,Buncombe,2013,Number,2665
County,Buncombe,2008,Number,2738
County,Buncombe,2007,Number,2864
County,Buncombe,2006,Number,2755
County,Buncombe,2005,Number,2621
County,Buncombe,2004,Number,2576
County,Buncombe,2003,Number,2505
County,Buncombe,2002,Number,2564
County,Buncombe,2001,Number,2490
County,Buncombe,2000,Number,2597
County,Buncombe,1999,Number,2472
County,Buncombe,1998,Number,2492
County,Buncombe,1997,Number,2249
County,Buncombe,1996,Number,2357
County,Buncombe,1995,Number,2222
County,Buncombe,2020,Number,2327
County,Buncombe,2021,Number,2447
County,Buncombe,2022,Number,2399
County,Buncombe,2023,Number,2388
County,Buncombe,2024,Number,2261
County,Buncombe,2019,Number,2464
County,Burke,1995,Number,1064
County,Burke,1996,Number,1130
County,Burke,1997,Number,1056
County,Burke,1998,Number,1152
County,Burke,1999,Number,1114
County,Burke,2000,Number,1167
County,Burke,2001,Number,1059
County,Burke,2002,Number,1047
County,Burke,2003,Number,964
County,Burke,2004,Number,1007
County,Burke,2005,Number,992
County,Burke,2006,Number,1018
County,Burke,2007,Number,1014
County,Burke,2008,Number,1078
County,Burke,2013,Number,819
County,Burke,2018,Number,863
County,Burke,2009,Number,970
County,Burke,2010,Number,867
County,Burke,2015,Number,901
County,Burke,2011,Number,861
County,Burke,2012,Number,882
County,Burke,2016,Number,900
County,Burke,2014,Number,885
County,Burke,2017,Number,927
County,Burke,2020,Number,798
County,Burke,2021,Number,884
County,Burke,2022,Number,849
County,Burke,2023,Number,850
County,Burke,2024,Number,897
County,Burke,2019,Number,890
County,Cabarrus,2017,Number,2593
County,Cabarrus,2014,Number,2335
County,Cabarrus,2016,Number,2477
County,Cabarrus,2012,Number,2273
County,Cabarrus,2011,Number,2295
County,Cabarrus,2015,Number,2458
County,Cabarrus,2010,Number,2358
County,Cabarrus,2009,Number,2535
County,Cabarrus,2018,Number,2509
County,Cabarrus,2013,Number,2312
County,Cabarrus,2008,Number,2726
County,Cabarrus,2007,Number,2610
County,Cabarrus,2006,Number,2514
County,Cabarrus,2005,Number,2389
County,Cabarrus,2004,Number,2268
County,Cabarrus,2003,Number,2237
County,Cabarrus,2002,Number,2190
County,Cabarrus,2001,Number,2197
County,Cabarrus,2000,Number,2136
County,Cabarrus,1999,Number,1884
County,Cabarrus,1998,Number,1789
County,Cabarrus,1997,Number,1679
County,Cabarrus,1996,Number,1530
County,Cabarrus,1995,Number,1512
County,Cabarrus,2020,Number,2541
County,Cabarrus,2021,Number,2684
County,Cabarrus,2022,Number,2747
County,Cabarrus,2023,Number,2665
County,Cabarrus,2024,Number,2725
County,Cabarrus,2019,Number,2537
County,Caldwell,1995,Number,948
County,Caldwell,1996,Number,958
County,Caldwell,1997,Number,944
County,Caldwell,1998,Number,1088
County,Caldwell,1999,Number,1040
County,Caldwell,2000,Number,1053
County,Caldwell,2001,Number,962
County,Caldwell,2002,Number,943
County,Caldwell,2003,Number,901
County,Caldwell,2004,Number,958
County,Caldwell,2005,Number,929
County,Caldwell,2006,Number,937
County,Caldwell,2007,Number,934
County,Caldwell,2008,Number,874
County,Caldwell,2013,Number,795
County,Caldwell,2018,Number,777
County,Caldwell,2009,Number,836
County,Caldwell,2010,Number,819
County,Caldwell,2015,Number,800
County,Caldwell,2011,Number,803
County,Caldwell,2012,Number,783
County,Caldwell,2016,Number,822
County,Caldwell,2014,Number,828
County,Caldwell,2017,Number,783
County,Caldwell,2020,Number,733
County,Caldwell,2021,Number,720
County,Caldwell,2022,Number,789
County,Caldwell,2023,Number,777
County,Caldwell,2024,Number,785
County,Caldwell,2019,Number,882
County,Camden,2017,Number,89
County,Camden,2014,Number,98
County,Camden,2016,Number,90
County,Camden,2012,Number,83
County,Camden,2011,Number,85
County,Camden,2015,Number,90
County,Camden,2010,Number,92
County,Camden,2009,Number,101
County,Camden,2018,Number,98
County,Camden,2013,Number,95
County,Camden,2008,Number,93
County,Camden,2007,Number,110
County,Camden,2006,Number,108
County,Camden,2005,Number,98
County,Camden,2004,Number,107
County,Camden,2003,Number,110
County,Camden,2002,Number,72
County,Camden,2001,Number,73
County,Camden,2000,Number,76
County,Camden,1999,Number,77
County,Camden,1998,Number,40
County,Camden,1997,Number,31
County,Camden,1996,Number,76
County,Camden,1995,Number,
County,Camden,2020,Number,97
County,Camden,2021,Number,82
County,Camden,2022,Number,87
County,Camden,2023,Number,98
County,Camden,2024,Number,42
County,Camden,2019,Number,104
County,Carteret,1995,Number,606
County,Carteret,1996,Number,588
County,Carteret,1997,Number,626
County,Carteret,1998,Number,625
County,Carteret,1999,Number,616
County,Carteret,2000,Number,637
County,Carteret,2001,Number,576
County,Carteret,2002,Number,577
County,Carteret,2003,Number,590
County,Carteret,2004,Number,649
County,Carteret,2005,Number,679
County,Carteret,2006,Number,658
County,Carteret,2007,Number,643
County,Carteret,2008,Number,605
County,Carteret,2013,Number,659
County,Carteret,2018,Number,501
County,Carteret,2009,Number,585
County,Carteret,2010,Number,623
County,Carteret,2015,Number,612
County,Carteret,2011,Number,632
County,Carteret,2012,Number,603
County,Carteret,2016,Number,546
County,Carteret,2014,Number,581
County,Carteret,2017,Number,567
County,Carteret,2020,Number,475
County,Carteret,2021,Number,494
County,Carteret,2022,Number,490
County,Carteret,2023,Number,483
County,Carteret,2024,Number,499
County,Carteret,2019,Number,521
County,Caswell,2017,Number,204
County,Caswell,2014,Number,210
County,Caswell,2016,Number,203
County,Caswell,2012,Number,204
County,Caswell,2011,Number,230
County,Caswell,2015,Number,191
County,Caswell,2010,Number,182
County,Caswell,2009,Number,208
County,Caswell,2018,Number,218
County,Caswell,2013,Number,216
County,Caswell,2008,Number,226
County,Caswell,2007,Number,210
County,Caswell,2006,Number,206
County,Caswell,2005,Number,260
County,Caswell,2004,Number,212
County,Caswell,2003,Number,246
County,Caswell,2002,Number,267
County,Caswell,2001,Number,245
County,Caswell,2000,Number,262
County,Caswell,1999,Number,276
County,Caswell,1998,Number,253
County,Caswell,1997,Number,248
County,Caswell,1996,Number,237
County,Caswell,1995,Number,217
County,Caswell,2020,Number,175
County,Caswell,2021,Number,184
County,Caswell,2022,Number,202
County,Caswell,2023,Number,201
County,Caswell,2024,Number,185
County,Caswell,2019,Number,209
County,Catawba,1995,Number,1750
County,Catawba,1996,Number,1654
County,Catawba,1997,Number,1797
County,Catawba,1998,Number,1874
County,Catawba,1999,Number,1960
County,Catawba,2000,Number,2139
County,Catawba,2001,Number,2051
County,Catawba,2002,Number,2079
County,Catawba,2003,Number,2033
County,Catawba,2004,Number,1943
County,Catawba,2005,Number,2006
County,Catawba,2006,Number,2057
County,Catawba,2007,Number,2097
County,Catawba,2008,Number,2017
County,Catawba,2013,Number,1672
County,Catawba,2018,Number,1693
County,Catawba,2009,Number,1903
County,Catawba,2010,Number,1829
County,Catawba,2015,Number,1754
County,Catawba,2011,Number,1772
County,Catawba,2012,Number,1828
County,Catawba,2016,Number,1664
County,Catawba,2014,Number,1806
County,Catawba,2017,Number,1652
County,Catawba,2020,Number,1593
