Location,LocationID,FilterCategory,DataGroups,TimeFrame,DataFormat,Data
North Carolina,37000,NA,Total,2019,Number,6916
North Carolina,37000,NA,Total,2021,Number,7052
North Carolina,37000,NA,Total,2023,Number,5616
